team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
Arsenal,24.0,26.6,58.0,22.0,242.0,"1,980",22.0,37.0,27.0,64.0,34.0,3.0,3.0,30.0,0.0,35.8,33.5,23.9,57.4,453.0,938.0,1.68,1.23,2.91,1.55,2.77,1.63,1.09,2.72,1.52,2.61,22.0,22.0,"1,980",14.0,0.64,46.0,32.0,69.6,15.0,5.0,2.0,11.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,12.1,0.27,-1.9,-0.09,94.0,292.0,32.2,634.0,97.0,38.5,33.6,104.0,46.2,38.0,191.0,20.0,10.5,38.0,1.73,18.4,325.0,103.0,31.7,14.77,4.68,0.1,0.33,14.6,6.0,0.11,+1.2,+0.5,9284.0,11213.0,82.8,161368.0,49326.0,4089.0,4548.0,89.9,4382.0,4914.0,89.2,658.0,1297.0,50.7,22.9,+3.1,221.0,767.0,211.0,32.0,10333.0,847.0,229.0,76.0,33.0,409.0,361.0,118.0,96.0,7.0,0.0,33.0,164.0,545.0,24.77,402.0,33.0,31.0,50.0,21.0,8.0,67.0,3.05,50.0,3.0,4.0,5.0,3.0,2.0,332.0,190.0,136.0,136.0,60.0,142.0,266.0,53.4,124.0,184.0,56.0,128.0,151.0,483.0,488.0,12.0,13477.0,1169.0,3598.0,6152.0,3836.0,670.0,13474.0,375.0,157.0,41.9,167.0,44.5,7625.0,42323.0,22522.0,320.0,133.0,298.0,158.0,9141.0,923.0,0.0,223.0,227.0,33.0,2.0,0.0,0.0,826.0,321.0,308.0,51.0,90.0,100.0,81.0,148.0,95.0,23.0,103.0,2.27,40.0,14.0,+26,+1.18,35.8,14.8,+21.0,+0.96
Aston Villa,26.0,28.4,53.3,22.0,242.0,"1,980",22.0,32.0,24.0,56.0,32.0,0.0,0.0,33.0,1.0,25.0,25.0,18.9,43.9,293.0,749.0,1.45,1.09,2.55,1.45,2.55,1.14,0.86,2.0,1.14,2.0,22.0,22.0,"1,980",25.0,1.14,87.0,62.0,72.4,13.0,4.0,5.0,6.0,27.3,2.0,1.0,1.0,0.0,50.0,0.0,6.0,1.0,25.3,0.28,+1.3,+0.06,100.0,279.0,35.8,699.0,88.0,33.2,31.6,177.0,26.6,25.3,297.0,32.0,10.8,23.0,1.05,11.6,263.0,94.0,35.7,11.95,4.27,0.12,0.34,15.9,9.0,0.11,+7.0,+7.0,8298.0,10053.0,82.5,143001.0,49529.0,3746.0,4122.0,90.9,3653.0,4130.0,88.5,669.0,1284.0,52.1,16.0,+5.1,182.0,589.0,170.0,29.0,9031.0,1000.0,353.0,46.0,37.0,338.0,320.0,105.0,66.0,8.0,0.0,22.0,186.0,432.0,19.64,312.0,38.0,22.0,34.0,17.0,9.0,55.0,2.5,37.0,5.0,3.0,6.0,3.0,1.0,325.0,195.0,150.0,138.0,37.0,152.0,297.0,51.2,145.0,220.0,88.0,132.0,132.0,457.0,478.0,22.0,12345.0,1725.0,4391.0,5187.0,2869.0,477.0,12345.0,386.0,143.0,37.0,190.0,49.2,7283.0,36625.0,18547.0,215.0,80.0,286.0,243.0,8132.0,741.0,0.0,222.0,301.0,23.0,0.0,2.0,1.0,751.0,240.0,240.0,50.0,90.0,100.0,82.0,143.0,102.0,19.0,96.0,1.95,33.0,25.0,+8,+0.36,25.0,30.1,-5.1,-0.23
Bournemouth,24.0,25.7,49.8,22.0,242.0,"1,980",22.0,35.0,18.0,53.0,32.0,3.0,4.0,54.0,1.0,32.0,29.7,18.5,48.2,392.0,800.0,1.59,0.82,2.41,1.45,2.27,1.46,0.84,2.3,1.35,2.19,22.0,22.0,"1,980",41.0,1.86,101.0,61.0,62.4,6.0,9.0,7.0,5.0,22.7,3.0,3.0,0.0,0.0,0.0,2.0,8.0,1.0,33.5,0.31,-6.5,-0.29,80.0,252.0,31.7,442.0,101.0,36.9,33.2,161.0,55.3,43.7,274.0,22.0,8.0,35.0,1.59,13.8,298.0,102.0,34.2,13.55,4.64,0.11,0.31,17.4,13.0,0.11,+3.0,+2.3,7392.0,9613.0,76.9,130000.0,46112.0,3301.0,3760.0,87.8,3210.0,3765.0,85.3,699.0,1552.0,45.0,17.3,-0.5,192.0,681.0,180.0,53.0,8594.0,974.0,227.0,32.0,36.0,454.0,407.0,118.0,85.0,6.0,0.0,45.0,185.0,498.0,22.64,371.0,30.0,26.0,32.0,24.0,15.0,52.0,2.36,40.0,2.0,3.0,3.0,3.0,1.0,364.0,222.0,172.0,136.0,56.0,199.0,366.0,54.4,167.0,250.0,75.0,175.0,204.0,568.0,662.0,11.0,12265.0,1324.0,3825.0,5307.0,3275.0,518.0,12261.0,407.0,166.0,40.8,194.0,47.7,6666.0,37183.0,20493.0,297.0,102.0,326.0,179.0,7324.0,793.0,0.0,276.0,217.0,47.0,1.0,3.0,1.0,925.0,330.0,393.0,45.6,90.0,100.0,82.0,141.0,102.0,20.0,96.0,1.23,35.0,41.0,-6,-0.27,32.0,31.2,+0.8,+0.04
Brentford,23.0,25.7,46.8,22.0,242.0,"1,980",22.0,34.0,21.0,55.0,29.0,5.0,7.0,43.0,0.0,33.8,28.3,22.7,51.0,256.0,612.0,1.55,0.95,2.5,1.32,2.27,1.53,1.03,2.57,1.29,2.32,22.0,22.0,"1,980",30.0,1.36,86.0,56.0,68.6,10.0,3.0,9.0,5.0,22.7,6.0,3.0,3.0,0.0,50.0,0.0,1.0,2.0,26.1,0.27,-1.9,-0.09,124.0,344.0,36.0,661.0,99.0,38.3,33.9,144.0,63.2,47.2,322.0,18.0,5.6,23.0,1.05,13.6,224.0,85.0,37.9,10.18,3.86,0.13,0.34,14.0,4.0,0.14,+0.2,+0.7,6791.0,8915.0,76.2,123731.0,47106.0,2933.0,3386.0,86.6,2936.0,3489.0,84.2,761.0,1610.0,47.3,18.0,-1.7,151.0,495.0,141.0,38.0,7984.0,894.0,203.0,25.0,25.0,385.0,395.0,103.0,68.0,20.0,3.0,37.0,124.0,365.0,16.59,255.0,44.0,19.0,19.0,19.0,9.0,58.0,2.64,40.0,5.0,6.0,2.0,4.0,1.0,326.0,200.0,130.0,143.0,53.0,149.0,295.0,50.5,146.0,242.0,94.0,148.0,193.0,519.0,659.0,13.0,11504.0,1540.0,4278.0,4906.0,2436.0,472.0,11497.0,360.0,133.0,36.9,193.0,53.6,5554.0,28117.0,13750.0,174.0,81.0,337.0,175.0,6715.0,604.0,0.0,231.0,195.0,38.0,6.0,5.0,2.0,918.0,407.0,374.0,52.1,90.0,100.0,84.0,152.0,90.0,15.0,108.0,1.5,35.0,30.0,+5,+0.23,33.8,28.0,+5.8,+0.26
Brighton,26.0,26.0,52.5,22.0,242.0,"1,980",22.0,31.0,18.0,49.0,28.0,3.0,5.0,57.0,0.0,32.7,28.9,21.6,50.5,423.0,767.0,1.41,0.82,2.23,1.27,2.09,1.49,0.98,2.47,1.31,2.3,22.0,22.0,"1,980",29.0,1.32,86.0,60.0,72.1,7.0,9.0,6.0,5.0,22.7,6.0,5.0,1.0,0.0,16.7,0.0,3.0,3.0,29.1,0.3,+3.1,+0.14,56.0,218.0,25.7,759.0,89.0,24.5,28.3,165.0,19.4,20.7,264.0,11.0,4.2,26.0,1.18,14.4,289.0,92.0,31.8,13.14,4.18,0.1,0.3,17.0,11.0,0.11,-1.7,-0.9,8668.0,10548.0,82.2,150071.0,51227.0,3941.0,4374.0,90.1,3789.0,4279.0,88.5,723.0,1342.0,53.9,17.8,-3.6,197.0,653.0,144.0,51.0,9632.0,878.0,226.0,23.0,58.0,366.0,341.0,98.0,78.0,4.0,1.0,38.0,158.0,479.0,21.77,348.0,34.0,34.0,34.0,20.0,9.0,46.0,2.09,27.0,1.0,5.0,10.0,3.0,0.0,387.0,251.0,160.0,160.0,67.0,189.0,400.0,47.3,211.0,229.0,66.0,163.0,178.0,565.0,498.0,17.0,13098.0,1538.0,4513.0,5680.0,3037.0,520.0,13093.0,411.0,172.0,41.8,198.0,48.2,7692.0,41285.0,22524.0,266.0,117.0,360.0,215.0,8552.0,758.0,0.0,265.0,217.0,39.0,3.0,5.0,3.0,899.0,285.0,293.0,49.3,90.0,100.0,81.0,138.0,104.0,20.0,94.0,1.36,32.0,29.0,+3,+0.14,32.7,30.0,+2.8,+0.13
Burnley,25.0,27.7,41.0,22.0,242.0,"1,980",22.0,22.0,16.0,38.0,20.0,2.0,2.0,36.0,2.0,17.9,16.3,12.6,28.9,217.0,536.0,1.0,0.73,1.73,0.91,1.64,0.81,0.57,1.38,0.74,1.31,22.0,22.0,"1,980",42.0,1.91,122.0,83.0,69.7,3.0,5.0,14.0,3.0,13.6,6.0,5.0,0.0,1.0,0.0,0.0,7.0,3.0,40.1,0.3,+1.1,+0.05,147.0,454.0,32.4,558.0,92.0,45.7,35.7,234.0,85.0,59.7,378.0,14.0,3.7,13.0,0.59,10.0,192.0,59.0,30.7,8.73,2.68,0.1,0.34,17.3,11.0,0.09,+4.1,+3.7,6523.0,8658.0,75.3,113687.0,42773.0,3139.0,3570.0,87.9,2573.0,3100.0,83.0,615.0,1449.0,42.4,11.5,+3.4,133.0,510.0,113.0,30.0,7670.0,956.0,207.0,26.0,68.0,267.0,376.0,77.0,62.0,3.0,1.0,32.0,184.0,323.0,14.68,227.0,29.0,13.0,25.0,21.0,8.0,37.0,1.68,28.0,2.0,1.0,5.0,1.0,0.0,367.0,218.0,162.0,163.0,42.0,171.0,321.0,53.3,150.0,267.0,91.0,176.0,204.0,571.0,658.0,22.0,11191.0,1495.0,3963.0,4947.0,2384.0,346.0,11189.0,275.0,91.0,33.1,153.0,55.6,5713.0,25791.0,12743.0,164.0,61.0,308.0,177.0,6483.0,531.0,1.0,221.0,185.0,34.0,1.0,5.0,3.0,766.0,342.0,412.0,45.4,90.0,100.0,83.0,142.0,98.0,17.0,99.0,0.64,23.0,42.0,-19,-0.86,17.9,41.0,-23.1,-1.05
Chelsea,25.0,24.7,56.8,22.0,242.0,"1,980",22.0,36.0,25.0,61.0,33.0,3.0,3.0,52.0,5.0,36.8,35.2,28.4,63.6,431.0,846.0,1.64,1.14,2.77,1.5,2.64,1.67,1.29,2.96,1.6,2.89,22.0,22.0,"1,978",24.0,1.09,80.0,55.0,70.0,9.0,7.0,6.0,9.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.9,0.33,+0.9,+0.04,106.0,353.0,30.0,758.0,101.0,37.3,33.8,148.0,47.3,39.6,257.0,29.0,11.3,24.0,1.09,13.4,296.0,99.0,33.4,13.45,4.5,0.11,0.33,15.9,10.0,0.12,-0.8,-2.2,9802.0,11664.0,84.0,167779.0,53907.0,4547.0,4943.0,92.0,4388.0,4858.0,90.3,698.0,1392.0,50.1,23.7,-3.4,218.0,725.0,178.0,33.0,10702.0,932.0,279.0,52.0,34.0,380.0,336.0,124.0,91.0,3.0,0.0,30.0,164.0,506.0,23.0,390.0,26.0,27.0,34.0,15.0,14.0,63.0,2.86,41.0,6.0,7.0,5.0,3.0,1.0,339.0,217.0,148.0,131.0,60.0,167.0,294.0,56.8,127.0,193.0,58.0,135.0,222.0,561.0,478.0,16.0,14019.0,1409.0,4353.0,6504.0,3305.0,543.0,14017.0,412.0,166.0,40.3,190.0,46.1,8665.0,42049.0,22344.0,264.0,131.0,336.0,182.0,9706.0,832.0,1.0,248.0,256.0,30.0,1.0,0.0,0.0,857.0,304.0,265.0,53.4,90.0,100.0,79.0,148.0,90.0,27.0,108.0,1.55,36.0,24.0,+12,+0.55,36.8,28.4,+8.3,+0.38
Crystal Palace,25.0,26.8,43.0,22.0,242.0,"1,980",22.0,22.0,12.0,34.0,18.0,4.0,4.0,41.0,0.0,33.2,30.2,21.3,51.4,276.0,683.0,1.0,0.55,1.55,0.82,1.36,1.51,0.97,2.48,1.37,2.34,22.0,22.0,"1,980",25.0,1.14,86.0,61.0,73.3,7.0,7.0,8.0,8.0,36.4,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,26.7,0.3,+1.7,+0.08,88.0,366.0,24.0,551.0,82.0,49.5,38.7,168.0,55.4,45.0,312.0,12.0,3.8,18.0,0.82,12.3,248.0,77.0,31.0,11.27,3.5,0.07,0.23,15.8,2.0,0.13,-11.2,-12.2,6498.0,8676.0,74.9,117186.0,44233.0,2788.0,3269.0,85.3,2920.0,3444.0,84.8,648.0,1469.0,44.1,20.7,-9.3,161.0,492.0,148.0,34.0,7760.0,873.0,218.0,45.0,48.0,332.0,361.0,82.0,70.0,6.0,0.0,43.0,172.0,425.0,19.32,302.0,42.0,19.0,38.0,14.0,10.0,38.0,1.73,24.0,3.0,1.0,5.0,4.0,1.0,415.0,258.0,210.0,153.0,52.0,187.0,349.0,53.6,162.0,242.0,60.0,182.0,195.0,610.0,735.0,13.0,11324.0,1434.0,4176.0,4809.0,2449.0,500.0,11320.0,248.0,93.0,37.5,124.0,50.0,5717.0,27475.0,14371.0,210.0,63.0,301.0,179.0,6452.0,678.0,0.0,221.0,194.0,45.0,4.0,2.0,0.0,839.0,374.0,412.0,47.6,90.0,100.0,85.0,169.0,73.0,16.0,125.0,1.27,23.0,25.0,-2,-0.09,33.2,27.4,+5.8,+0.27
Everton,20.0,28.0,43.1,22.0,242.0,"1,980",22.0,23.0,19.0,42.0,22.0,1.0,1.0,42.0,3.0,23.6,22.8,18.3,41.1,306.0,657.0,1.05,0.86,1.91,1.0,1.86,1.07,0.83,1.9,1.04,1.87,22.0,22.0,"1,980",25.0,1.14,87.0,61.0,73.6,9.0,5.0,8.0,9.0,40.9,3.0,2.0,1.0,0.0,33.3,0.0,5.0,0.0,27.6,0.29,+2.6,+0.12,173.0,465.0,37.2,693.0,77.0,54.7,39.8,164.0,52.4,40.0,311.0,9.0,2.9,43.0,1.95,16.8,236.0,67.0,28.4,10.73,3.05,0.09,0.33,15.5,7.0,0.1,-0.6,-0.8,6620.0,8711.0,76.0,122362.0,44996.0,2854.0,3268.0,87.3,2952.0,3517.0,83.9,713.0,1505.0,47.4,17.6,+0.7,173.0,554.0,153.0,47.0,7726.0,961.0,259.0,38.0,53.0,386.0,404.0,88.0,67.0,7.0,1.0,24.0,179.0,412.0,18.73,295.0,36.0,30.0,23.0,22.0,6.0,38.0,1.73,29.0,1.0,4.0,3.0,1.0,0.0,379.0,230.0,179.0,138.0,62.0,182.0,331.0,55.0,149.0,263.0,96.0,167.0,179.0,558.0,673.0,23.0,11341.0,1359.0,3782.0,4630.0,3049.0,486.0,11340.0,376.0,135.0,35.9,191.0,50.8,5904.0,30370.0,15115.0,245.0,92.0,364.0,184.0,6562.0,646.0,1.0,229.0,246.0,28.0,1.0,3.0,0.0,848.0,466.0,395.0,54.1,90.0,100.0,85.0,170.0,69.0,18.0,126.0,1.45,24.0,25.0,-1,-0.05,23.6,30.2,-6.6,-0.30
Fulham,23.0,28.7,51.3,22.0,242.0,"1,980",22.0,27.0,19.0,46.0,26.0,1.0,1.0,50.0,0.0,23.6,22.8,17.2,40.0,391.0,817.0,1.23,0.86,2.09,1.18,2.05,1.07,0.78,1.85,1.03,1.82,22.0,22.0,"1,980",31.0,1.41,86.0,57.0,66.3,9.0,4.0,9.0,5.0,22.7,3.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,26.1,0.3,-2.9,-0.13,63.0,246.0,25.6,686.0,92.0,26.8,29.3,166.0,37.3,32.0,289.0,13.0,4.5,14.0,0.64,11.2,258.0,73.0,28.3,11.73,3.32,0.1,0.36,16.4,4.0,0.09,+3.4,+3.2,8859.0,10861.0,81.6,156602.0,52393.0,3861.0,4300.0,89.8,4055.0,4579.0,88.6,781.0,1469.0,53.2,18.2,+1.8,187.0,654.0,181.0,51.0,9836.0,986.0,250.0,21.0,75.0,387.0,424.0,95.0,59.0,21.0,1.0,39.0,201.0,439.0,19.95,347.0,28.0,20.0,31.0,10.0,3.0,44.0,2.0,33.0,3.0,2.0,4.0,2.0,0.0,362.0,213.0,186.0,133.0,43.0,169.0,288.0,58.7,119.0,210.0,74.0,136.0,183.0,545.0,635.0,15.0,13326.0,1667.0,4816.0,5663.0,2936.0,499.0,13325.0,322.0,136.0,42.2,155.0,48.1,7633.0,39844.0,20786.0,271.0,91.0,314.0,163.0,8795.0,807.0,0.0,244.0,202.0,42.0,1.0,3.0,2.0,823.0,285.0,309.0,48.0,90.0,100.0,82.0,139.0,104.0,18.0,94.0,1.41,30.0,31.0,-1,-0.05,23.6,29.0,-5.4,-0.25
