ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0.0,Brenden Aaronson,us USA,"FW,MF",Leeds United,25-090,2000,21.0,15.0,"1,334",14.8,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,2.9,2.9,2.8,5.7,29.0,39.0,88.0,0.27,0.2,0.47,0.27,0.47,0.21,0.2,0.41,0.21,0.41,Matches,29.0,12.0,41.4,1.96,0.81,0.14,0.33,16.3,0.0,0.1,+1.1,+1.1,309.0,399.0,77.4,4287.0,921.0,181.0,212.0,85.4,105.0,129.0,81.4,7.0,15.0,46.7,2.5,+0.2,19.0,18.0,17.0,4.0,368.0,27.0,3.0,4.0,0.0,26.0,5.0,0.0,0.0,0.0,0.0,4.0,15.0,38.0,2.75,24.0,0.0,4.0,5.0,3.0,2.0,6.0,0.43,4.0,0.0,0.0,2.0,0.0,0.0,31.0,16.0,14.0,12.0,5.0,17.0,37.0,45.9,20.0,18.0,1.0,17.0,10.0,41.0,12.0,0.0,613.0,10.0,98.0,265.0,261.0,49.0,613.0,42.0,15.0,35.7,23.0,54.8,323.0,2013.0,848.0,19.0,10.0,46.0,34.0,375.0,0.0,11.0,26.0,5.0,0.0,1.0,0.0,68.0,15.0,16.0,48.4
0.0,Zach Abbott,eng ENG,DF,Nottingham Forest,19-252,2006,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,65.4,266.0,110.0,10.0,12.0,83.3,7.0,11.0,63.6,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,8.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,35.0,3.0,14.0,16.0,5.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,8.0,38.0,13.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,75.0
0.0,Joshua Acheampong,eng ENG,DF,Chelsea,19-260,2006,9.0,6.0,476.0,5.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,5.0,13.0,4.0,0.19,0.0,0.19,0.19,0.19,0.12,0.01,0.13,0.12,0.13,Matches,3.0,2.0,66.7,0.57,0.38,0.33,0.5,8.1,0.0,0.2,+0.4,+0.4,321.0,354.0,90.7,5337.0,1299.0,149.0,161.0,92.5,158.0,164.0,96.3,10.0,21.0,47.6,0.1,-0.1,1.0,11.0,1.0,1.0,333.0,21.0,9.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,1.0,0.0,2.0,5.0,40.0,3.0,7.0,2.0,5.0,8.0,14.0,16.0,4.0,403.0,33.0,161.0,209.0,36.0,6.0,403.0,14.0,10.0,71.4,3.0,21.4,283.0,1426.0,723.0,6.0,1.0,1.0,5.0,303.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,19.0,10.0,7.0,58.8
0.0,Tyler Adams,us USA,MF,Bournemouth,26-340,1999,15.0,15.0,"1,195",13.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.5,0.5,0.1,0.5,12.0,61.0,7.0,0.15,0.08,0.23,0.15,0.23,0.03,0.01,0.04,0.03,0.04,Matches,8.0,6.0,75.0,0.6,0.45,0.25,0.33,23.5,0.0,0.06,+1.5,+1.5,605.0,695.0,87.1,10197.0,2497.0,265.0,295.0,89.8,298.0,323.0,92.3,32.0,51.0,62.7,0.3,+0.9,2.0,59.0,1.0,0.0,671.0,24.0,22.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,0.98,12.0,0.0,0.0,0.0,0.0,1.0,3.0,0.23,2.0,0.0,0.0,0.0,0.0,1.0,35.0,16.0,14.0,15.0,6.0,23.0,36.0,63.9,13.0,21.0,5.0,16.0,21.0,56.0,26.0,1.0,851.0,50.0,238.0,497.0,123.0,7.0,851.0,10.0,4.0,40.0,5.0,50.0,455.0,2112.0,1048.0,17.0,0.0,16.0,5.0,502.0,0.0,21.0,10.0,1.0,0.0,0.0,0.0,61.0,11.0,15.0,42.3
0.0,Tosin Adarabioyo,eng ENG,DF,Chelsea,28-118,1997,11.0,7.0,708.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.8,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.11,0.01,0.11,Matches,2.0,0.0,0.0,0.25,0.0,0.0,0.0,5.1,0.0,0.05,-0.1,-0.1,586.0,648.0,90.4,10590.0,4048.0,202.0,211.0,95.7,352.0,374.0,94.1,29.0,51.0,56.9,0.4,-0.7,1.0,25.0,2.0,0.0,620.0,25.0,10.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,0.55,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,7.0,5.0,1.0,1.0,3.0,33.3,2.0,5.0,4.0,1.0,8.0,21.0,49.0,1.0,727.0,86.0,352.0,364.0,11.0,3.0,727.0,0.0,0.0,0.0,0.0,0.0,440.0,1794.0,1127.0,1.0,0.0,1.0,1.0,530.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,16.0,32.0,16.0,66.7
0.0,Simon Adingra,ci CIV,"FW,MF",Sunderland,24-019,2002,14.0,9.0,653.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.9,1.2,25.0,8.0,67.0,0.14,0.0,0.14,0.14,0.14,0.05,0.12,0.17,0.05,0.17,Matches,6.0,2.0,33.3,0.83,0.28,0.17,0.5,16.8,0.0,0.06,+0.7,+0.7,130.0,192.0,67.7,1899.0,297.0,80.0,96.0,83.3,40.0,56.0,71.4,6.0,17.0,35.3,0.6,-0.9,7.0,3.0,6.0,2.0,188.0,3.0,0.0,1.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,14.0,1.93,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,5.0,4.0,2.0,6.0,15.0,40.0,9.0,11.0,0.0,11.0,2.0,13.0,11.0,0.0,290.0,7.0,45.0,106.0,142.0,16.0,290.0,27.0,7.0,25.9,19.0,70.4,180.0,1257.0,636.0,14.0,4.0,12.0,12.0,204.0,0.0,17.0,3.0,4.0,0.0,0.0,0.0,20.0,9.0,14.0,39.1
0.0,Amine Adli,ma MAR,"FW,MF",Bournemouth,25-255,2000,18.0,4.0,520.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.4,11.0,19.0,37.0,0.17,0.0,0.17,0.17,0.17,0.2,0.09,0.3,0.2,0.3,Matches,10.0,5.0,50.0,1.73,0.87,0.1,0.2,17.7,1.0,0.1,0.0,0.0,135.0,189.0,71.4,1864.0,463.0,80.0,99.0,80.8,44.0,59.0,74.6,6.0,14.0,42.9,0.4,-0.5,6.0,12.0,4.0,0.0,178.0,9.0,1.0,2.0,1.0,12.0,5.0,2.0,2.0,0.0,0.0,2.0,7.0,17.0,3.47,13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,8.0,8.0,3.0,13.0,16.0,81.3,3.0,10.0,1.0,9.0,3.0,22.0,9.0,0.0,263.0,8.0,50.0,104.0,113.0,19.0,263.0,10.0,4.0,40.0,5.0,50.0,136.0,771.0,457.0,7.0,0.0,9.0,4.0,155.0,0.0,19.0,14.0,2.0,0.0,0.0,0.0,26.0,11.0,9.0,55.0
0.0,Emmanuel Agbadou,ci CIV,DF,Wolves,28-217,1997,13.0,11.0,"1,011",11.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.2,0.6,5.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,Matches,9.0,3.0,33.3,0.8,0.27,0.0,0.0,19.2,1.0,0.05,-0.5,-0.5,510.0,633.0,80.6,10851.0,4234.0,156.0,171.0,91.2,286.0,315.0,90.8,66.0,135.0,48.9,0.3,-0.2,3.0,60.0,7.0,3.0,597.0,33.0,21.0,2.0,5.0,14.0,11.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,0.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17.0,15.0,10.0,3.0,18.0,24.0,75.0,6.0,17.0,14.0,3.0,12.0,40.0,65.0,2.0,777.0,107.0,366.0,365.0,52.0,10.0,777.0,5.0,4.0,80.0,1.0,20.0,437.0,2010.0,946.0,11.0,0.0,9.0,4.0,505.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,62.0,23.0,12.0,65.7
0.0,Nayef Aguerd,ma MAR,DF,West Ham United,29-296,1996,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.9,0.0,0.05,-0.1,-0.1,106.0,119.0,89.1,1731.0,663.0,52.0,53.0,98.1,47.0,49.0,95.9,5.0,13.0,38.5,0.0,0.0,0.0,12.0,0.0,0.0,113.0,6.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,11.0,0.0,143.0,14.0,62.0,72.0,9.0,2.0,143.0,1.0,1.0,100.0,0.0,0.0,71.0,405.0,222.0,2.0,0.0,1.0,0.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,57.1
0.0,Ola Aina,ng NGA,DF,Nottingham Forest,29-104,1996,6.0,6.0,518.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,6.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,5.0,1.0,20.0,0.87,0.17,0.0,0.0,23.6,0.0,0.02,-0.1,-0.1,184.0,231.0,79.7,3148.0,1392.0,83.0,86.0,96.5,83.0,103.0,80.6,14.0,31.0,45.2,0.4,-0.2,4.0,16.0,3.0,1.0,185.0,45.0,6.0,0.0,1.0,18.0,38.0,1.0,0.0,0.0,0.0,1.0,6.0,5.0,1.05,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,3.0,4.0,5.0,6.0,83.3,1.0,1.0,0.0,1.0,11.0,21.0,21.0,0.0,301.0,18.0,101.0,110.0,94.0,5.0,301.0,13.0,3.0,23.1,9.0,69.2,111.0,484.0,264.0,5.0,1.0,1.0,8.0,150.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,25.0,4.0,3.0,57.1
