ranker,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
0.0,Alisson,br BRA,GK,Liverpool,33-110,1992,17.0,17.0,"1,530",17.0,19.0,1.12,52.0,33.0,65.4,9.0,6.0,2.0,6.0,35.3,1.0,1.0,0.0,0.0,0.0,Matches,0.0,5.0,0.0,17.3,0.33,-0.7,-0.04,41.0,133.0,30.8,532.0,71.0,23.1,29.1,35.0,28.6,30.9,196.0,12.0,6.1,16.0,1.0,13.3
0.0,Alphonse Areola,fr FRA,GK,West Ham United,32-327,1993,18.0,18.0,"1,620",18.0,33.0,1.83,100.0,68.0,72.0,3.0,5.0,10.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,Matches,0.0,6.0,1.0,29.1,0.28,-1.9,-0.11,92.0,325.0,28.3,383.0,82.0,52.5,40.1,151.0,82.1,55.9,300.0,14.0,4.7,2.0,0.12,6.7
0.0,Altay Bayındır,tr TUR,GK,Manchester Utd,27-281,1998,6.0,6.0,540.0,6.0,11.0,1.83,24.0,13.0,54.2,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,9.4,0.43,-1.6,-0.26,28.0,95.0,29.5,176.0,15.0,47.7,37.5,16.0,68.8,49.1,63.0,6.0,9.5,7.0,1.17,13.0
0.0,Marco Bizot,nl NED,GK,Aston Villa,34-316,1991,5.0,4.0,405.0,4.5,8.0,1.78,20.0,13.0,65.0,2.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,1.0,1.0,7.5,0.34,+0.5,+0.12,15.0,48.0,31.3,160.0,22.0,20.6,27.1,24.0,62.5,44.8,62.0,6.0,9.7,13.0,2.89,16.5
0.0,Karl Darlow,wls WAL,GK,Leeds United,35-104,1990,6.0,6.0,540.0,6.0,8.0,1.33,21.0,14.0,61.9,2.0,1.0,3.0,1.0,16.7,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,1.0,5.2,0.26,-1.8,-0.37,30.0,100.0,30.0,181.0,28.0,43.6,37.7,26.0,80.8,56.9,82.0,5.0,6.1,4.0,0.8,11.4
0.0,Gianluigi Donnarumma,it ITA,GK,Manchester City,26-329,1999,19.0,19.0,"1,710",19.0,17.0,0.89,58.0,40.0,70.7,12.0,4.0,3.0,8.0,42.1,1.0,0.0,1.0,0.0,100.0,Matches,0.0,5.0,0.0,16.6,0.32,+1.6,+0.09,44.0,126.0,34.9,466.0,55.0,21.9,28.0,48.0,50.0,37.5,193.0,7.0,3.6,13.0,0.72,12.7
0.0,Martin Dúbravka,sk SVK,GK,Burnley,37-005,1989,22.0,22.0,"1,980",22.0,42.0,1.91,122.0,83.0,69.7,3.0,5.0,14.0,3.0,13.6,6.0,5.0,0.0,1.0,0.0,Matches,0.0,7.0,3.0,40.1,0.32,+2.1,+0.10,147.0,454.0,32.4,559.0,92.0,45.6,35.7,233.0,85.4,59.9,378.0,14.0,3.7,13.0,0.62,10.0
0.0,Dean Henderson,eng ENG,GK,Crystal Palace,28-314,1997,22.0,22.0,"1,980",22.0,25.0,1.14,86.0,61.0,73.3,7.0,7.0,8.0,8.0,36.4,2.0,2.0,0.0,0.0,0.0,Matches,1.0,5.0,0.0,26.7,0.33,+3.7,+0.18,88.0,366.0,24.0,569.0,82.0,48.2,38.7,150.0,61.3,49.1,312.0,12.0,3.8,18.0,0.86,12.3
0.0,Mads Hermansen,dk DEN,GK,West Ham United,25-193,2000,4.0,4.0,360.0,4.0,11.0,2.75,20.0,9.0,45.0,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,6.0,0.0,9.3,0.46,-1.7,-0.43,19.0,72.0,26.4,141.0,19.0,41.1,33.9,16.0,87.5,61.3,72.0,5.0,6.9,1.0,0.25,8.8
0.0,John,br BRA,GK,Nottingham Forest,29-341,1996,5.0,5.0,437.0,4.9,8.0,1.65,14.0,6.0,50.0,1.0,0.0,4.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,5.2,0.32,-2.8,-0.58,27.0,72.0,37.5,106.0,7.0,49.1,39.5,31.0,64.5,45.5,44.0,1.0,2.3,7.0,1.44,16.8
